GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
clientes,com.api.clientes.dto.security,TokenDTO,0,39,0,0,0,7,0,7,0,7
clientes,com.api.clientes.dto.security,AccountCredentialsDTO,0,26,0,0,0,5,0,6,0,6
clientes,com.api.clientes.Service,PasswordResetTokenService,0,153,2,8,0,32,2,11,0,8
clientes,com.api.clientes.Service,ClienteService,0,84,0,0,0,19,0,8,0,8
clientes,com.api.clientes.Service,UsuarioService,0,106,0,4,0,19,0,11,0,9
clientes,com.api.clientes.Service,ServicoPrestadoService,0,69,0,0,0,10,0,4,0,4
clientes,com.api.clientes.Service,EmailService,0,42,0,0,0,11,0,2,0,2
clientes,com.api.clientes.Service,UserService,0,29,0,0,0,4,0,3,0,3
clientes,com.api.clientes.Service,AuthServices,0,160,7,19,0,29,7,14,0,8
clientes,com.api.clientes,ClientesApplication,5,3,0,0,2,1,1,1,1,1
clientes,com.api.clientes.security,UserSS,17,39,0,0,5,10,5,6,5,6
clientes,com.api.clientes.security.jwt,JwtTokenFilter,53,49,7,5,12,15,5,3,0,2
clientes,com.api.clientes.security.jwt,JwtConfigurer,0,18,0,0,0,4,0,2,0,2
clientes,com.api.clientes.security.jwt,JwtTokenProvider,84,187,4,4,22,48,5,10,2,9
clientes,com.api.clientes.resources,ClienteResourse,0,72,0,0,0,14,0,7,0,7
clientes,com.api.clientes.resources,UsuarioResourse,0,34,0,0,0,6,0,3,0,3
clientes,com.api.clientes.resources,PasswordResetResource,0,20,0,0,0,5,0,3,0,3
clientes,com.api.clientes.resources,AuthController,0,20,0,0,0,5,0,3,0,3
clientes,com.api.clientes.resources,ServicoPrestadoResource,0,40,0,0,0,7,0,3,0,3
clientes,com.api.clientes.config,SecurityConfig,0,95,1,1,0,18,1,7,0,7
clientes,com.api.clientes.config,InternacionalizacaoConfig,0,28,0,0,0,9,0,3,0,3
clientes,com.api.clientes.config,LocalConfig,0,27,0,0,0,4,0,2,0,2
clientes,com.api.clientes.config,WebConfig,0,54,0,0,0,13,0,2,0,2
clientes,com.api.clientes.model.entity,Cliente,4,46,0,0,2,7,1,10,1,10
clientes,com.api.clientes.model.entity,ServicoPrestado,0,56,0,0,0,8,0,12,0,12
clientes,com.api.clientes.model.entity,Usuario,33,113,8,6,0,20,8,16,2,15
clientes,com.api.clientes.model.entity,PasswordResetToken,7,39,0,0,1,6,2,8,2,8
clientes,com.api.clientes.model.enums,Perfil,7,63,2,4,2,13,2,6,0,5
clientes,com.api.clientes.utils,StringToBigdecimal,0,32,1,3,0,7,1,3,0,2
clientes,com.api.clientes.resources.exception,AppliacationControllerAdvice,18,23,0,0,4,4,1,3,1,3
clientes,com.api.clientes.resources.exception,ApiErros,17,14,0,0,3,4,1,2,1,2
clientes,com.api.clientes.dto,ServicoPrestadoDto,0,46,0,0,0,7,0,10,0,10
